Geneset,Gene,Source
KEGG_CITRATE_CYCLE_TCA_CYCLE,ACLY,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,MDH2,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,DLD,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,MDH1,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,DLAT,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,OGDHL,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,PC,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,SDHA,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,SUCLG1,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,SUCLA2,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,SUCLG2,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,IDH3G,KEGG
KEGG_CITRATE_CYCLE_TCA_CYCLE,ACO2,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,RPE,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,RPIA,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PGM2,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PGLS,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PRPS2,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,FBP2,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PFKM,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PFKL,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,TALDO1,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,TKT,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,FBP1,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,TKTL2,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PGD,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,RBKS,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,ALDOA,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,ALDOC,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,ALDOB,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,H6PD,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,LOC729020,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PRPS1L1,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PRPS1,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,DERA,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,G6PD,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PGM1,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,TKTL1,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,PFKP,KEGG
KEGG_PENTOSE_PHOSPHATE_PATHWAY,GPI,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A10,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A8,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,RPE,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A7,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A6,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT2B28,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A5,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,CRYL1,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGDH,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT2A1,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,GUSB,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A9,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,DCXR,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,LOC729020,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,DHDH,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT2B11,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGP2,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,XYLB,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT2B10,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,AKR1B1,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT2B7,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT2B4,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT2A3,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A4,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT2B17,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A1,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT1A3,KEGG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,UGT2B15,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,MPI,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PMM2,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PMM1,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,FBP2,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PFKM,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,GMDS,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PFKFB4,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PFKL,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,MTMR6,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,TPI1,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PHPT1,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PFKFB3,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,FUK,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PFKFB2,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,MTMR1,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PFKFB1,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,AKR1B10,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,FPGT,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KHK,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,FBP1,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,MTMR2,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,HK2,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,HK3,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,HK1,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,ALDOA,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,ALDOC,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,ALDOB,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,MTMR7,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,TSTA3,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,AKR1B1,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,SORD,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,GMPPA,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,PFKP,KEGG
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,GMPPB,KEGG
KEGG_GALACTOSE_METABOLISM,GCK,KEGG
KEGG_GALACTOSE_METABOLISM,GALK1,KEGG
KEGG_GALACTOSE_METABOLISM,GLB1,KEGG
KEGG_GALACTOSE_METABOLISM,GALE,KEGG
KEGG_GALACTOSE_METABOLISM,B4GALT1,KEGG
KEGG_GALACTOSE_METABOLISM,PGM2,KEGG
KEGG_GALACTOSE_METABOLISM,LALBA,KEGG
KEGG_GALACTOSE_METABOLISM,PFKM,KEGG
KEGG_GALACTOSE_METABOLISM,PFKL,KEGG
KEGG_GALACTOSE_METABOLISM,MGAM,KEGG
KEGG_GALACTOSE_METABOLISM,HK2,KEGG
KEGG_GALACTOSE_METABOLISM,HK1,KEGG
KEGG_GALACTOSE_METABOLISM,HK3,KEGG
KEGG_GALACTOSE_METABOLISM,GALT,KEGG
KEGG_GALACTOSE_METABOLISM,G6PC2,KEGG
KEGG_GALACTOSE_METABOLISM,GLA,KEGG
KEGG_GALACTOSE_METABOLISM,GANC,KEGG
KEGG_GALACTOSE_METABOLISM,LCT,KEGG
KEGG_GALACTOSE_METABOLISM,GALK2,KEGG
KEGG_GALACTOSE_METABOLISM,G6PC,KEGG
KEGG_GALACTOSE_METABOLISM,UGP2,KEGG
KEGG_GALACTOSE_METABOLISM,PGM1,KEGG
KEGG_GALACTOSE_METABOLISM,AKR1B1,KEGG
KEGG_GALACTOSE_METABOLISM,B4GALT2,KEGG
KEGG_GALACTOSE_METABOLISM,GAA,KEGG
KEGG_GALACTOSE_METABOLISM,PFKP,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A10,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A8,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A7,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A6,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ALDH1B1,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT2B28,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ALDH2,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A5,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,MIOX,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGDH,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT2A1,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ALDH9A1,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ALDH3A2,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A9,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ALDH7A1,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT2B11,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT2B10,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT2B7,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT2B4,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT2A3,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A4,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A1,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT2B17,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT1A3,KEGG
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,UGT2B15,KEGG
KEGG_FATTY_ACID_METABOLISM,CPT1A,KEGG
KEGG_FATTY_ACID_METABOLISM,CPT1C,KEGG
KEGG_FATTY_ACID_METABOLISM,ACADS,KEGG
KEGG_FATTY_ACID_METABOLISM,ALDH1B1,KEGG
KEGG_FATTY_ACID_METABOLISM,ACADSB,KEGG
KEGG_FATTY_ACID_METABOLISM,ACADL,KEGG
KEGG_FATTY_ACID_METABOLISM,ALDH2,KEGG
KEGG_FATTY_ACID_METABOLISM,ACADM,KEGG
KEGG_FATTY_ACID_METABOLISM,CYP4A11,KEGG
KEGG_FATTY_ACID_METABOLISM,ACAT2,KEGG
KEGG_FATTY_ACID_METABOLISM,ACADVL,KEGG
KEGG_FATTY_ACID_METABOLISM,ACAT1,KEGG
KEGG_FATTY_ACID_METABOLISM,ACAA2,KEGG
KEGG_FATTY_ACID_METABOLISM,HADH,KEGG
KEGG_FATTY_ACID_METABOLISM,HADHB,KEGG
KEGG_FATTY_ACID_METABOLISM,HADHA,KEGG
KEGG_FATTY_ACID_METABOLISM,CYP4A22,KEGG
KEGG_FATTY_ACID_METABOLISM,ADH7,KEGG
KEGG_FATTY_ACID_METABOLISM,ADH6,KEGG
KEGG_FATTY_ACID_METABOLISM,ACSL6,KEGG
KEGG_FATTY_ACID_METABOLISM,ADH1B,KEGG
KEGG_FATTY_ACID_METABOLISM,ADH1C,KEGG
KEGG_FATTY_ACID_METABOLISM,ADH4,KEGG
